zip,station id,station name,station distance
00791,9751774,"Botany Bay, St. Thomas Island",53.939353210249195
00794,9751774,"Botany Bay, St. Thomas Island",84.42197517260546
00795,9751774,"Botany Bay, St. Thomas Island",98.46181485210687
00801,9751768,"Dorothea Bay, Saint Thomas Island",1.59153964249144
00802,9751639,"CHARLOTTE AMALIE, ST. THOMAS ISLAND",0.415757440462561
00820,9751364,"Christiansted Harbor, St Croix",0.8409547250255887
00823,9751401,"LIME TREE BAY, ST.CROIX ISLAND",2.0593270765988807
00824,9751364,"Christiansted Harbor, St Croix",1.0401514098682914
00830,9751373,"Coral Harbor, St. Johns",1.464957194224279
00831,9751472,"Cruz Bay, St. John",0.6199222330998356
00840,9751584,"Fredericksted, St. Croix",2.3953506490333996
00841,9751389,"Salt River Bay, St. Croix",3.038512218925154
00850,9751401,"LIME TREE BAY, ST.CROIX ISLAND",1.080731142849829
00851,9751401,"LIME TREE BAY, ST.CROIX ISLAND",2.82360823891145
00901,9751774,"Botany Bay, St. Thomas Island",70.48776336716578
00906,9751774,"Botany Bay, St. Thomas Island",69.85418033705841
00907,9751774,"Botany Bay, St. Thomas Island",68.65849076588019
00909,9751774,"Botany Bay, St. Thomas Island",67.89703245753267
00911,9751774,"Botany Bay, St. Thomas Island",67.23694472582906
00912,9751774,"Botany Bay, St. Thomas Island",67.46006365705583
00913,9751774,"Botany Bay, St. Thomas Island",66.34553229816237
00915,9751774,"Botany Bay, St. Thomas Island",66.4644157887336
00917,9751774,"Botany Bay, St. Thomas Island",66.68650993849828
00918,9751774,"Botany Bay, St. Thomas Island",67.71458448138364
00920,9751774,"Botany Bay, St. Thomas Island",69.14748942657053
00921,9751774,"Botany Bay, St. Thomas Island",69.12471293388113
00923,9751774,"Botany Bay, St. Thomas Island",65.91184709092153
00924,9751774,"Botany Bay, St. Thomas Island",64.15136284836079
00925,9751774,"Botany Bay, St. Thomas Island",66.65411597163825
00926,9751774,"Botany Bay, St. Thomas Island",66.68898667419931
00927,9751774,"Botany Bay, St. Thomas Island",68.03807458588254
00934,9751774,"Botany Bay, St. Thomas Island",71.50871088649824
00936,9751774,"Botany Bay, St. Thomas Island",68.16179565920396
00949,9751774,"Botany Bay, St. Thomas Island",77.37792580147091
00950,9751774,"Botany Bay, St. Thomas Island",78.84205151574953
00951,9751774,"Botany Bay, St. Thomas Island",80.04724433370951
00952,9751774,"Botany Bay, St. Thomas Island",75.34866167427542
00953,9751774,"Botany Bay, St. Thomas Island",79.79140076207644
00956,9751774,"Botany Bay, St. Thomas Island",74.5369097641619
00957,9751774,"Botany Bay, St. Thomas Island",75.60353027781409
00959,9751774,"Botany Bay, St. Thomas Island",73.45131662283832
00960,9751774,"Botany Bay, St. Thomas Island",72.93864931178862
00961,9751774,"Botany Bay, St. Thomas Island",74.160061040745
00962,9751774,"Botany Bay, St. Thomas Island",73.25406517907341
00965,9751774,"Botany Bay, St. Thomas Island",70.97247157802701
00966,9751774,"Botany Bay, St. Thomas Island",71.04757095788463
00968,9751774,"Botany Bay, St. Thomas Island",69.98677477198308
00969,9751774,"Botany Bay, St. Thomas Island",70.38073168263755
00971,9751774,"Botany Bay, St. Thomas Island",71.18615439810159
00976,9751774,"Botany Bay, St. Thomas Island",62.939106170997256
00979,9751774,"Botany Bay, St. Thomas Island",65.48819058264098
00982,9751774,"Botany Bay, St. Thomas Island",62.85025587984527
00983,9751774,"Botany Bay, St. Thomas Island",61.8124509547854
00985,9751774,"Botany Bay, St. Thomas Island",59.95951824260948
00987,9751774,"Botany Bay, St. Thomas Island",59.45870477190467
01001,8464464,Hartford,20.323110855748524
01002,8464464,Hartford,42.43877166852478
01003,8464464,Hartford,43.4766222687157
01005,8464464,Hartford,53.29501973878929
01007,8464464,Hartford,37.76843448927956
01008,8464464,Hartford,32.54230811499253
01009,8464464,Hartford,34.8538702895068
01010,8464464,Hartford,34.33494122045468
01011,8464464,Hartford,39.75868324161978
01012,8464464,Hartford,42.95874817329758
01013,8464464,Hartford,26.812063587665275
01020,8464464,Hartford,28.35333873999298
01022,8464464,Hartford,30.256168669167895
01026,8464464,Hartford,49.743020746973166
01027,8464464,Hartford,36.53505207423767
01028,8464464,Hartford,22.019670610452124
01029,8464464,Hartford,35.07043924927219
01030,8464464,Hartford,20.956575518081113
01031,8464464,Hartford,45.56874713535912
01032,8464464,Hartford,48.109279770797556
01033,8464464,Hartford,33.93966245937342
01034,8464464,Hartford,27.26244215115786
01035,8464464,Hartford,40.85256897667347
01036,8464464,Hartford,24.009711544359764
01037,8464464,Hartford,48.202527506344786
01038,8464464,Hartford,42.652082635118404
01039,8464464,Hartford,43.84650226397182
01040,8464464,Hartford,30.550876338093147
01050,8464464,Hartford,37.1787592807619
01053,8464464,Hartford,40.584701094416914
01054,8464464,Hartford,49.20906090253991
01056,8464464,Hartford,30.558876820652948
01057,8464464,Hartford,28.601009191355686
01060,8464464,Hartford,38.16139376704467
01062,8464464,Hartford,38.62688723161996
01063,8464464,Hartford,37.96294601943089
01066,8464464,Hartford,44.02042420225123
01068,8464464,Hartford,51.34778577374277
01069,8464464,Hartford,34.28376802737636
01070,8464464,Hartford,53.29516166656146
01071,8464464,Hartford,28.951790545051512
01072,8464464,Hartford,49.18866106389826
01073,8464464,Hartford,31.802398527532457
01074,8464464,Hartford,51.88223816609682
01075,8464464,Hartford,33.89838223595596
01077,8464464,Hartford,20.317298648518282
01079,8464464,Hartford,34.308120729153266
01080,8464464,Hartford,32.768254775237104
01081,8464464,Hartford,30.052640987782038
01082,8464464,Hartford,41.342098347250236
01083,8464464,Hartford,38.602819708212735
01084,8464464,Hartford,44.38844674402695
01085,8464464,Hartford,27.02956594863559
01086,8464464,Hartford,25.733494975095372
01088,8464464,Hartford,42.97968049458375
01089,8464464,Hartford,24.583070665347666
01092,8464464,Hartford,36.67734040779852
01093,8464464,Hartford,46.437891005587815
01094,8464464,Hartford,49.000359802742864
01095,8464464,Hartford,28.46822774808776
01096,8464464,Hartford,43.61503901043546
01097,8464464,Hartford,29.43528177258192
01098,8464464,Hartford,45.38928296690374
01103,8464464,Hartford,23.419996548441002
01104,8464464,Hartford,25.70611323498769
01105,8464464,Hartford,23.242578932541118
01106,8464464,Hartford,19.822308438971238
01107,8464464,Hartford,24.464391167430716
01108,8464464,Hartford,22.171489827309404
01109,8464464,Hartford,24.92207014863802
01118,8464464,Hartford,23.58335266533693
01119,8464464,Hartford,25.82647221640451
01128,8464464,Hartford,24.102843149008073
01129,8464464,Hartford,25.81435772845196
01151,8464464,Hartford,27.628164057639413
01199,8464464,Hartford,24.44790851780751
01201,8464464,Hartford,56.21716039091277
01220,8464464,Hartford,63.31355344439347
01222,8464464,Hartford,39.09979788979816
01223,8464464,Hartford,43.799066782125685
01224,8464464,Hartford,58.03587733195706
01225,8464464,Hartford,60.196357946812945
01226,8464464,Hartford,54.65814147358697
01229,8464464,Hartford,48.980420632329896
01230,8464464,Hartford,43.73064385096847
01235,8464464,Hartford,49.627333099328055
01236,8464464,Hartford,50.064526256038214
01237,8464464,Hartford,61.91388733803718
01238,8464464,Hartford,46.482709156683946
01240,8464464,Hartford,51.56687199306671
01242,8464464,Hartford,49.054305931902235
01243,8464464,Hartford,44.05201997695172
01244,8464464,Hartford,38.67732769264917
01245,8464464,Hartford,40.52725446022713
01247,8464464,Hartford,67.60671608293343
01253,8464464,Hartford,37.855210782997354
01254,8464464,Hartford,55.38824740512564
01255,8464464,Hartford,32.86116476047557
01256,8464464,Hartford,59.772091768350236
01257,8464464,Hartford,42.03494954037879
01258,8464464,Hartford,47.097443931236185
01259,8464464,Hartford,35.956644501525886
01260,8464464,Hartford,50.176049385276286
01262,8464464,Hartford,49.18070315812861
01264,8464464,Hartford,42.07173074130488
01266,8464464,Hartford,52.62475028551043
01267,8464464,Hartford,68.98888695705277
01270,8464464,Hartford,54.75778698206281
01301,8464464,Hartford,59.30771362646567
01330,8464464,Hartford,52.008757413933075
01331,8440889,Riverside,58.30800941776746
01337,8464464,Hartford,63.6839606423119
01338,8464464,Hartford,56.0389948446434
01339,8464464,Hartford,58.724762656166625
01340,8464464,Hartford,63.943659149913096
01341,8464464,Hartford,50.28139840570684
01342,8464464,Hartford,53.56687951699301
01343,8464464,Hartford,63.36898575110109
01344,8464464,Hartford,59.58809330206607
01346,8464464,Hartford,64.29562200059362
01347,8464464,Hartford,55.08185854743625
01349,8464464,Hartford,55.630394182746954
01350,8464464,Hartford,68.14776064196201
01351,8464464,Hartford,53.732492394393354
01354,8464464,Hartford,59.58685492737574
01355,8464464,Hartford,50.69575995072844
01360,8464464,Hartford,63.640473828055576
01364,8464464,Hartford,60.86456062166461
01366,8464464,Hartford,54.523352917550326
01367,8464464,Hartford,65.13811841183964
01368,8440889,Riverside,56.15939853491759
01370,8464464,Hartford,56.97850879189262
01373,8464464,Hartford,48.82978244378048
01375,8464464,Hartford,48.548468825144475
01376,8464464,Hartford,57.32786511263927
01378,8464464,Hartford,64.48989950199862
01379,8464464,Hartford,55.9627435302097
01420,8440889,Riverside,39.57605280061702
01430,8440889,Riverside,43.62054381456661
01431,8440889,Riverside,38.84298959144983
01432,8440889,Riverside,28.747068093153928
01434,8440889,Riverside,31.318670238730782
01436,8440889,Riverside,52.522041441606554
01438,8440889,Riverside,50.46708424393636
01440,8440889,Riverside,47.96469033430197
01450,8440889,Riverside,26.937719807449604
01451,8440889,Riverside,30.835022296928493
01452,8440889,Riverside,50.751083007394776
01453,8440889,Riverside,38.73892912859798
01460,8440889,Riverside,26.25730162406388
01462,8440889,Riverside,35.01249420475981
01463,8440889,Riverside,27.472126322036186
01464,8440889,Riverside,31.52698824352355
01467,8440889,Riverside,33.04304188605786
01468,8440889,Riverside,52.65573969440257
01469,8440889,Riverside,32.128757576672285
01473,8440889,Riverside,44.51910195329407
01474,8440889,Riverside,34.93076569061869
